,AuctionID,Price,PredictedPrice,AbsDiff
0,033d23de59b64fcc9d0d2b2b40688eb3,35999999,36514736.935751684,0.014298276390276587
1,033d23de59b64fcc9d0d2b2b40688eb3,35999999,36514736.935751684,0.014298276390276587
64,b89830a6ecfd4ff6b8490feb6d2a5a36,36000000,35277172.08783525,0.020078553115687403
65,b89830a6ecfd4ff6b8490feb6d2a5a36,36000000,35277172.08783525,0.020078553115687403
70,cd1cb4ae7a9342d586efef4838039001,164999999,160289820.10611305,0.028546538923839404
71,cd1cb4ae7a9342d586efef4838039001,164999999,160289820.10611305,0.028546538923839404
47,906d6568c9754c97bcc4d6f09de0015f,42000000,43359200.2011627,0.03236190955149287
46,906d6568c9754c97bcc4d6f09de0015f,42000000,43359200.2011627,0.03236190955149287
69,cbf162d0cbc447a7861dfea80d219264,170000000,164345941.0571591,0.03325917025200531
68,cbf162d0cbc447a7861dfea80d219264,170000000,164345941.0571591,0.03325917025200531
54,ac3af35a8b4a49e5a45d5032196f0259,49449998,47441436.647629514,0.04061802696878747
55,ac3af35a8b4a49e5a45d5032196f0259,49449998,47441436.647629514,0.04061802696878747
45,8cb275ee1de64ed18e3413e700e993af,140000000,146954503.21382436,0.049675022955888215
44,8cb275ee1de64ed18e3413e700e993af,140000000,146954503.21382436,0.049675022955888215
32,7c12448a2bbf474fa1541ab71b8e2ba2,24500000,23238286.332431614,0.05149851704360753
33,7c12448a2bbf474fa1541ab71b8e2ba2,24500000,23238286.332431614,0.05149851704360753
38,83c12c9668d64c7b9bc81409ca14d8a7,18000000,17046704.630733002,0.05296085384816651
39,83c12c9668d64c7b9bc81409ca14d8a7,18000000,17046704.630733002,0.05296085384816651
52,a135b424e46b455c955af32a5b74f6c1,194999980,183566737.67477667,0.058632017937762515
53,a135b424e46b455c955af32a5b74f6c1,194999980,183566737.67477667,0.058632017937762515
62,b7dd223d647b49f0964f39bd566438bf,13490000,14285629.584158473,0.058979213058448776
42,8949a7b3429c4240a0368d1175b7b4c6,13490000,14285629.584158473,0.058979213058448776
43,8949a7b3429c4240a0368d1175b7b4c6,13490000,14285629.584158473,0.058979213058448776
63,b7dd223d647b49f0964f39bd566438bf,13490000,14285629.584158473,0.058979213058448776
14,35bd6f503aec4dc5acdaef4183f07894,50000000,45412052.06633359,0.09175895867332817
15,35bd6f503aec4dc5acdaef4183f07894,50000000,45412052.06633359,0.09175895867332817
12,29cc655807f9494abfb156e59a426263,18000000,16282773.792835018,0.09540145595361016
13,29cc655807f9494abfb156e59a426263,18000000,16282773.792835018,0.09540145595361016
67,ba70808d3148441daecd2b42da5f90bc,38900000,42639638.02324892,0.09613465355395667
66,ba70808d3148441daecd2b42da5f90bc,38900000,42639638.02324892,0.09613465355395667
73,d09da815d9154de0a27650f9b085ca49,12700000,11193601.348680286,0.11861406703304833
72,d09da815d9154de0a27650f9b085ca49,12700000,11193601.348680286,0.11861406703304833
20,4ae93d45b2eb462fbd5c4f6c54ebf7b0,20000000,17344622.621777125,0.1327688689111438
21,4ae93d45b2eb462fbd5c4f6c54ebf7b0,20000000,17344622.621777125,0.1327688689111438
56,af3408697f194eefbd3644acd3d75d28,25000000,21445955.40094714,0.14216178396211443
57,af3408697f194eefbd3644acd3d75d28,25000000,21445955.40094714,0.14216178396211443
76,e1f7191da35f4629987714f2fbbe10f2,33000000,27219988.744027354,0.17515185624159535
77,e1f7191da35f4629987714f2fbbe10f2,33000000,27219988.744027354,0.17515185624159535
19,407445e24d9a4321ab600cef18aa2e46,8500000,6951476.682176395,0.18217921386160052
18,407445e24d9a4321ab600cef18aa2e46,8500000,6951476.682176395,0.18217921386160052
17,3619306d229c4b7b8533144017d7aedb,230000000,187655819.38331786,0.1841051331160093
16,3619306d229c4b7b8533144017d7aedb,230000000,187655819.38331786,0.1841051331160093
29,5ef16569a1ab4caf8ed91ef90c7020ce,30000000,24348370.52876258,0.18838764904124738
28,5ef16569a1ab4caf8ed91ef90c7020ce,30000000,24348370.52876258,0.18838764904124738
61,b6680a4bb34b4e7fb325a98c258109e9,35900000,28407027.07918877,0.20871790865769435
60,b6680a4bb34b4e7fb325a98c258109e9,35900000,28407027.07918877,0.20871790865769435
3,091cfcaaa62f4ee6a42c67bc7333952f,90000000,70729709.03587818,0.214114344045798
2,091cfcaaa62f4ee6a42c67bc7333952f,90000000,70729709.03587818,0.214114344045798
59,afcb31e744f943939e53b11b90e62c25,243000000,183599698.43227094,0.24444568546390555
58,afcb31e744f943939e53b11b90e62c25,243000000,183599698.43227094,0.24444568546390555
